iter	MultiClass
0	1.369581833
1	1.352965736
2	1.336528859
3	1.32126007
4	1.306535034
5	1.291256869
6	1.275766382
7	1.26253836
8	1.250160388
9	1.236839579
10	1.224273712
11	1.21224538
12	1.197881265
13	1.186113041
14	1.174362009
15	1.163842745
16	1.151750788
17	1.141080303
18	1.131047859
19	1.121211602
20	1.11172192
21	1.102321901
22	1.092984243
23	1.082507393
24	1.0722874
25	1.063634631
26	1.05547806
27	1.046838825
28	1.038392462
29	1.031021491
30	1.022624784
31	1.015130252
32	1.00801591
33	1.000491709
34	0.9925932019
35	0.98564628
36	0.9790336458
37	0.9729258063
38	0.9660617938
39	0.9598896545
40	0.9525398377
41	0.9461423345
42	0.940669384
43	0.9337668125
44	0.9283047175
45	0.9226960877
46	0.9184725595
47	0.911806456
48	0.9055564153
49	0.8994169672
50	0.8939463331
51	0.8890072415
52	0.8837991222
53	0.8786716093
54	0.8737582552
55	0.8693739499
56	0.8651059486
57	0.862421387
58	0.857070559
59	0.8523922518
60	0.8477165899
61	0.8429568579
62	0.8382772476
63	0.8322687434
64	0.8273473894
65	0.8233953961
66	0.8188962666
67	0.8138489124
68	0.808967309
69	0.8055413424
70	0.8007266721
71	0.7979076862
72	0.7940299219
73	0.7895481762
74	0.7859733583
75	0.7818687265
76	0.7780509492
77	0.7738131337
78	0.7688072355
79	0.7655182986
80	0.7612166391
81	0.7575933735
82	0.7540833222
83	0.7489274074
84	0.7444512531
85	0.7417497406
86	0.7385028807
87	0.7347888445
88	0.7307147359
89	0.7273272346
90	0.7245937748
91	0.7210694801
92	0.7187208975
93	0.7153406435
94	0.7118408492
95	0.7083128226
96	0.7057314211
97	0.704019156
98	0.7004288035
99	0.6980821524
100	0.6938007661
101	0.6913939178
102	0.6884350169
103	0.6851131988
104	0.6821054066
105	0.6792280466
106	0.675696286
107	0.6728729502
108	0.6700844604
109	0.6678609118
110	0.6648114193
111	0.662339323
112	0.6596120891
113	0.6564452642
114	0.6530888205
115	0.6504917177
116	0.6471525396
117	0.6437420586
118	0.6410067695
119	0.6387783131
120	0.6366297266
121	0.6345871323
122	0.6322158069
123	0.629774553
124	0.6271209581
125	0.6254008103
126	0.623022694
127	0.6198614171
128	0.6177734619
129	0.6149804414
130	0.6123850123
131	0.6108595202
132	0.6087944775
133	0.6065571376
134	0.6034908384
135	0.601138055
136	0.5997343593
137	0.5983407103
138	0.5965733133
139	0.5938789303
140	0.5911630642
141	0.5892479708
142	0.5869875866
143	0.5852634294
144	0.5833805722
145	0.5820351895
146	0.5802970357
147	0.5782196322
148	0.5759494317
149	0.5735948859
150	0.5715805816
151	0.5698228337
152	0.5672664011
153	0.5668232071
154	0.5648466603
155	0.5634894737
156	0.561697635
157	0.5594615908
158	0.5577747625
159	0.5555605583
160	0.5536593062
161	0.551490487
162	0.5492433097
163	0.5468723189
164	0.5450279673
165	0.5431665413
166	0.5415485223
167	0.5398661917
168	0.5377652817
169	0.5363148595
170	0.5354341196
171	0.5335580383
172	0.5313943574
173	0.5296713603
174	0.5278569066
175	0.5253912295
176	0.5238888564
177	0.5222187165
178	0.5206345236
179	0.5183854379
180	0.5171613311
181	0.5159964925
182	0.5145541651
183	0.5131408889
184	0.5114383868
185	0.5093709826
186	0.5070884302
187	0.5053190105
188	0.5037892474
189	0.5013380121
190	0.4990695586
191	0.4978313404
192	0.4967085953
193	0.4951970172
194	0.4937157616
195	0.4922266418
196	0.4910517961
197	0.4898288395
198	0.4878757016
199	0.4863820877
200	0.4850576245
201	0.4839143239
202	0.4821420219
203	0.4809721187
204	0.4796916488
205	0.4777005205
206	0.476153305
