iter	Passed	Remaining
0	1	548
1	3	517
2	4	514
3	6	515
4	7	514
5	9	510
6	10	510
7	12	508
8	13	505
9	15	499
10	16	498
11	18	498
12	20	499
13	21	500
14	23	502
15	24	501
16	26	501
17	28	498
18	29	497
19	31	495
20	32	493
21	34	494
22	36	493
23	37	492
24	39	490
25	40	489
26	42	488
27	44	485
28	45	485
29	47	483
30	48	482
31	50	482
32	52	480
33	53	479
34	55	478
35	57	477
36	58	475
37	60	474
38	62	474
39	63	472
40	65	471
41	66	468
42	68	466
43	70	466
44	71	465
45	73	464
46	73	456
47	75	455
48	77	452
49	78	452
50	80	451
51	82	450
52	83	448
53	85	445
54	86	444
55	88	442
56	89	440
57	89	432
58	91	430
59	93	429
60	94	428
61	96	426
62	97	425
63	99	423
64	100	421
65	102	420
66	103	418
67	105	416
68	106	415
69	108	413
70	110	412
71	111	411
72	113	410
73	115	409
74	116	408
75	118	406
76	119	404
77	121	403
78	123	402
79	124	400
80	126	399
81	128	398
82	129	396
83	131	395
84	133	394
85	134	392
86	136	391
87	137	389
88	139	388
89	141	387
90	143	387
91	144	386
92	146	384
93	148	383
94	149	382
95	151	380
96	153	378
97	153	374
98	155	373
99	156	371
100	158	370
101	160	368
102	161	367
103	163	365
104	164	364
105	166	362
106	167	360
107	169	359
108	171	357
109	172	356
110	174	355
111	175	353
112	177	352
113	179	350
114	180	349
115	182	347
116	184	346
117	186	345
118	187	343
119	189	341
120	190	340
121	192	338
122	194	337
123	195	336
124	197	334
125	198	333
126	200	331
127	202	330
128	203	328
129	205	326
130	207	325
131	208	323
132	210	322
133	211	321
134	213	319
135	215	318
136	216	316
137	218	315
138	220	313
139	221	312
140	223	310
141	225	309
142	226	307
143	228	305
144	229	303
145	231	302
146	232	300
147	234	299
148	236	297
149	237	296
150	239	294
151	240	292
152	242	291
153	242	288
154	243	286
155	245	284
156	246	283
157	248	281
158	249	279
159	251	278
160	252	276
161	254	274
162	256	273
163	257	272
164	259	270
165	260	268
166	262	267
167	263	265
168	265	263
169	267	262
170	268	260
171	270	259
172	272	258
173	273	256
174	275	254
175	276	253
176	278	251
177	280	250
178	281	248
179	283	247
180	284	245
181	286	243
182	287	242
183	289	240
184	291	239
185	292	237
186	294	236
187	295	234
188	297	233
189	299	231
190	300	230
191	302	228
192	304	227
193	306	225
194	307	224
195	309	222
196	311	221
197	313	220
198	315	218
199	317	217
200	319	215
201	320	214
202	322	212
203	323	211
204	325	209
205	327	208
206	328	206
207	330	204
208	331	203
209	333	201
210	334	200
211	336	198
212	338	196
213	339	195
214	341	193
215	342	192
216	344	190
217	346	188
218	347	187
219	349	185
220	350	184
221	352	182
222	354	181
223	355	179
224	357	177
225	359	176
226	360	174
227	362	173
228	364	171
229	365	170
230	367	168
231	368	166
232	370	165
233	372	163
234	373	162
235	375	160
236	377	159
237	378	157
238	380	156
239	381	154
240	383	152
241	385	151
242	386	149
243	388	148
244	389	146
245	391	144
246	393	143
247	394	141
248	396	140
249	398	138
250	399	137
251	402	135
252	403	134
253	405	132
254	406	130
255	408	129
256	410	127
257	411	126
258	413	124
259	414	122
260	416	121
261	418	119
262	419	118
263	421	116
264	423	114
265	425	113
266	427	111
267	428	110
268	430	108
269	432	107
270	433	105
271	435	104
272	437	102
273	439	100
274	440	99
275	442	97
276	443	96
277	445	94
278	447	92
279	448	91
280	450	89
281	451	88
282	453	86
283	455	84
284	457	83
285	458	81
286	460	80
287	462	78
288	463	77
289	465	75
290	467	73
291	468	72
292	470	70
293	471	68
294	473	67
295	475	65
296	476	64
297	478	62
298	479	60
299	481	59
300	482	57
301	484	56
302	485	54
303	487	52
304	489	51
305	490	49
306	492	48
307	494	46
308	495	44
309	497	43
310	498	41
311	500	40
312	502	38
313	504	36
314	505	35
315	507	33
316	508	32
317	510	30
318	512	28
319	513	27
320	515	25
321	517	24
322	518	22
323	520	20
324	522	19
325	523	17
326	525	16
327	527	14
328	528	12
329	530	11
330	531	9
331	533	8
332	535	6
333	536	4
334	538	3
335	539	1
336	541	0
